,Id_restaurant,Type_of_food,Locality,Cost,Votes,Rating
0,0,North Indian, Central Delhi,24.0,2415,4.1
1,0, Finger Food, Central Delhi,24.0,2415,4.1
2,0, Continental, Central Delhi,24.0,2415,4.1
3,1,North Indian, Central Delhi,18.0,2363,4.3
4,2,Finger Food, Central Delhi,24.0,5016,4.2
5,2, North Indian, Central Delhi,24.0,5016,4.2
6,2, Italian, Central Delhi,24.0,5016,4.2
7,2, Continental, Central Delhi,24.0,5016,4.2
8,2, Asian, Central Delhi,24.0,5016,4.2
9,3,North Indian, Central Delhi,21.6,2821,4.2
10,3, Mediterranean, Central Delhi,21.6,2821,4.2
11,3, Asian, Central Delhi,21.6,2821,4.2
12,3, Italian, Central Delhi,21.6,2821,4.2
13,3, Oriental , Central Delhi,21.6,2821,4.2
14,4,Mexican, Central Delhi,24.0,1094,4.4
15,4, American, Central Delhi,24.0,1094,4.4
16,4, Italian, Central Delhi,24.0,1094,4.4
17,5,Multi-Cuisine, Central Delhi,24.0,1391,3.9
18,5, North Indian, Central Delhi,24.0,1391,3.9
19,5, Italian, Central Delhi,24.0,1391,3.9
20,5, Chinese, Central Delhi,24.0,1391,3.9
21,5, Continental, Central Delhi,24.0,1391,3.9
22,5, Seafood, Central Delhi,24.0,1391,3.9
23,6,Multi-Cuisine, Central Delhi,21.6,1022,4.0
24,6, North Indian, Central Delhi,21.6,1022,4.0
25,6, Italian, Central Delhi,21.6,1022,4.0
26,6, Chinese, Central Delhi,21.6,1022,4.0
27,6, Continental, Central Delhi,21.6,1022,4.0
28,7,Multi-Cuisine, Central Delhi,25.2,963,4.3
29,7, North Indian, Central Delhi,25.2,963,4.3
30,7, Italian, Central Delhi,25.2,963,4.3
31,7, Continental, Central Delhi,25.2,963,4.3
32,7, Oriental , Central Delhi,25.2,963,4.3
33,8,Finger Food, Central Delhi,18.0,506,3.9
34,8, Italian, Central Delhi,18.0,506,3.9
35,8, Chinese, Central Delhi,18.0,506,3.9
36,8, Continental, Central Delhi,18.0,506,3.9
37,9,Rajasthani, Central Delhi,12.0,712,4.2
38,10,Multi-Cuisine, Central Delhi,24.0,2428,4.1
39,10, North Indian, Central Delhi,24.0,2428,4.1
40,10, Italian, Central Delhi,24.0,2428,4.1
41,10, Continental, Central Delhi,24.0,2428,4.1
42,10, Mediterranean, Central Delhi,24.0,2428,4.1
43,10, Oriental , Central Delhi,24.0,2428,4.1
44,11,North Indian, Central Delhi,30.0,2335,4.1
45,11, Fusion, Central Delhi,30.0,2335,4.1
46,11, Italian, Central Delhi,30.0,2335,4.1
47,11, Chinese, Central Delhi,30.0,2335,4.1
48,12,South Indian, Central Delhi,8.4,223,4.2
49,13,North Indian, Central Delhi,24.0,1817,4.1
50,13, Continental, Central Delhi,24.0,1817,4.1
51,14,North Indian, Central Delhi,20.400000000000002,1301,4.3
52,14, Italian, Central Delhi,20.400000000000002,1301,4.3
53,14, Chinese, Central Delhi,20.400000000000002,1301,4.3
54,14, Continental, Central Delhi,20.400000000000002,1301,4.3
55,15,Finger Food, Central Delhi,25.2,1501,4.0
56,15, North Indian, Central Delhi,25.2,1501,4.0
57,15, Italian, Central Delhi,25.2,1501,4.0
58,15, Continental, Central Delhi,25.2,1501,4.0
59,15, Oriental , Central Delhi,25.2,1501,4.0
60,15, Fusion, Central Delhi,25.2,1501,4.0
61,16,North Indian, Central Delhi,18.0,134,4.2
62,16, Chinese, Central Delhi,18.0,134,4.2
63,16, Mughlai, Central Delhi,18.0,134,4.2
64,17,Modern Indian, Central Delhi,24.0,1410,4.2
65,17, Continental, Central Delhi,24.0,1410,4.2
66,17, Finger Food, Central Delhi,24.0,1410,4.2
67,18,Multi-Cuisine, Central Delhi,26.400000000000002,1272,4.2
68,18, North Indian, Central Delhi,26.400000000000002,1272,4.2
69,18, Italian, Central Delhi,26.400000000000002,1272,4.2
70,18, Continental, Central Delhi,26.400000000000002,1272,4.2
71,18, American, Central Delhi,26.400000000000002,1272,4.2
72,18, Asian, Central Delhi,26.400000000000002,1272,4.2
73,18, Modern Indian, Central Delhi,26.400000000000002,1272,4.2
74,19,Multi-Cuisine, Central Delhi,24.0,2694,4.2
75,19, North Indian, Central Delhi,24.0,2694,4.2
76,19, Continental, Central Delhi,24.0,2694,4.2
77,19, Japanese, Central Delhi,24.0,2694,4.2
